country,name,related_documents,policy_type,policy_status,impact_on_eu_ets_esd_or_lulucf_emissions,policy_target,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,jurisdiction,agency,policy_implementation_period_start_year,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,policy_implementation_period_end_year,link,data_source,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_quantity,policy_financing_period_start,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
Austria,EU Emission Trading Scheme (ETS),Single PaM,"Economic, Regulatory",Implemented,EU ETS,Cross-cutting,,,Government,"Government: Ministry  of Agriculture, Forestry, Environment and Water Management",2005,Yes,"EU ETS directive 2003/87/EC as  amended by Directive 2008/101/EC and Directive 2009/29/EC and implementing legislation, in particular 2010/2/EU, 2011/278/EU and 2011/638/EU ","CO2, N2O","The objective is to limit the CO2 emission from the energy industries, manufacturing industries and from industrial processes, as well as N2O emissions from the chemical industry and CO2 emissions from aircraft operators through the EU-wide trading mechanism for emission allowances.",2030,,eea,,,,,,,,,,,
Austria,Domestic Environmental Support Scheme,Single PaM,Economic,Implemented,"EU ETS, ESD",Cross-cutting,300.0,300.0,Government,"Government: Ministry  of Agriculture, Forestry, Environment and Water Management",1993,No,No information,"CO2, CH4, N2O","The Domestic Environmental Support Scheme provides financial support to projects which improve environmental performance beyond mandatory standards in the energy, manufacturing as well as service industry. The Ministry of Agriculture, Forestry, Environment and Water Management puts the focus of its funding policy on climate change. Most projects are targeted at efficient energy use (about 60%) and renewable energy (about 39%).",,,eea,,,,,,,,,,,
Austria,Austrian Climate and Energy Fund (KLI.EN),Single PaM,"Economic, Research",Implemented,"EU ETS, ESD",Cross-cutting,,,Government,"Government: Ministry  of Agriculture, Forestry, Environment and Water Management",2007,No,No information,CO2,"In 2007, the Federal Government established a specific fund (Climate and Energy Fund – KLI.EN) in order to support the reduction of GHGs in Austria in the short, medium and long term (Federal Law Gazette I No. 40/2007). It focuses on research in and development of renewable energy systems, development and testing of new transport and mobility systems and market penetration of sustainable energy technologies -  ranging from basic and applied research to subsidies for the implementation of climate friendly technology (KLIEN 2017). Support is provided to companies, research institutions or municipalities as well as to individuals, depending on the respective programme.",,,eea,,,,,,,,,,,
Austria,Increase the share of renewable energy in energy supply and district heating,Single PaM,"Economic, Regulatory",Implemented,"EU ETS, ESD",Energy supply,4200.0,,Government,"Government: Ministry of Science, Research and Economy",2002,Yes,RES directive 2009/28/EC;Directive 2006/32/EC on end-use energy efficiency and energy services;Completion of the internal energy market (including provisions of the 3d package) ,CO2,"Beyond the traditional use of large-scale hydro power for electricity generation, quantitative targets have been set for the increase of the share of wind power, photovoltaics, small hydro plants and biomass/biogas in electricity generation in the Green Electricity Act and shall be achieved by fixed feed-in tariffs.",2020,http://www.e-control.at/de/publikationen/oeko-energie-und-energie-effizienz/berichte/oekostrombericht,eea,,,,,,,,,,,
Austria,Increase energy efficiency in energy and manufacturing industries,Single PaM,"Economic, Planning, Regulatory",Implemented,"EU ETS, ESD",Energy consumption; Energy supply,,,"Government, Regional","Government: Ministry of Science, Research and Economy,Regional: Federal provinces",2008,Yes,Cogeneration Directive 2004/8/EC;Energy Efficiency Directive 2012/27/EU;Completion of the internal energy market (including provisions of the 3d package) ,CO2,"Based on EU legislation, Austria has implemented the Energy efficiency Directive (2012/27/EU) and prepared its National Energy Efficiency Action Plan in 2014 with quantitative targets for final and primary energy consumption in 2020. In addition, financial support for cogeneration of power and heat is granted in order to improve the efficient use of primary energy for electricity production.",,https://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/energie_und_umwelt/energie/energiebilanzen/index.html,eea,,,,,,,,,,,
Austria,Increase the share of clean energy sources in road transport,Single PaM,"Economic, Regulatory",Implemented,ESD,Transport,,,Government,"Government: Ministry of Finance,Government: Ministry of Agriculture, Forestry, Environment and Water Management,Government: Ministry for Transport, Innovation and Technology",2004,Yes,Biofuels directive 2003/30/EC ,CO2,"The EU Directive on the promotion of renewable energy sources requires Member States to replace at least 10% of the fuels used in transport by renewables (biofuels and electricity from renewable energy sources) by 2020. The Austrian Fuel Ordinance stipulates minimum targets for the share of biofuels (fatty-acid methyl ester and ethanol) in diesel and gasoline sold in Austria. The national Implementation Plan for electric mobility, a joint initiative of three federal ministries, aims at a (moderate) electrification of road transport; funding instruments are used to increase the share of electric vehicles and plug-in hybrid vehicles from less than 0.1% in 2013 to about 1 % of the fleet in 2020.",,,eea,,,,,,,,,,,
Austria,Increase fuel efficiency in road transport,Single PaM,"Economic, Fiscal, Information, Regulatory",Implemented,ESD,Transport,,,"Government, Regional","Government: Ministry of Finance,Government: Ministry of Agriculture, Forestry, Environment and Water Management,Government: Ministry for Transport, Innovation and Technology,Regional: Federal provinces",2004,Yes,Other (Union policy not listed above or additional Union policy);Energy Taxation Directive 2003/96/EC Transport: Infrastructure charging for heavy goods (revised Eurovignette) 2006/38/EC,CO2,"Several instruments, including taxes and tolls along with awareness raising and training, have been implemented to improve the fuel efficiency of the fleet. The mineral oil tax and the fuel consumption based car registration tax are expected to promote the sales of cars with lower fuel consumption. Awareness raising and training programmes for fuel-efficient driving improve the performance of drivers. Other instruments like speed limits, established in response to other environmental concerns, contribute to reduced fuel consumption.",,,eea,,,,,,,,,,,
Austria,Modal shift to environmentally friendly transport modes,Single PaM,"Economic, Information",Implemented,ESD,Transport,,,Government,"Government: Ministry for Transport, Innovation and Technology,Government: Ministry of Agriculture, Forestry, Environment and Water Management",2005,No,No information,CO2,"Besides considerable investments in railway infrastructure in the last decade, the programme ‘klimaaktiv mobil’ for mobility management and awareness raising is an essential tool to promote environmentally friendly transport modes like public transport, cycling and walking. The cornerstones of ‘klimaaktiv mobil’ are the funding programme for businesses, communities and associations, target group-oriented counselling programmes, awareness-raising initiatives, partnerships, and training and certification initiatives. With respect to freight transport, investment support for corporate feeder lines aims at shifting transport activities from road to rail.",,,eea,,,,,,,,,,,
Austria,Increased energy efficiency in buildings,Single PaM,"Economic, Information, Regulatory",Implemented,ESD,Energy consumption,438.0,607.0,"Government, Regional","Government: Ministry of Agriculture, Forestry, Environment and Water Management,Government: Ministry for Transport, Innovation and Technology,Government: Ministry of Science, Research and Economy,Regional: Federal provinces",2006,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) ,CO2,"Tightening of mandatory construction standards ensures that new buildings show improved energy performance and will come close to a ‘zero energy’ standard in the future. Housing support funding is granted for the construction of buildings with advanced energy efficiency only, and support for the thermal renovation of buildings is provided within several programmes. Improvements of the efficiency of new boilers result from mandatory requirements at national level and eco-design standards at Union level. Furthermore, energy performance certificates have to be provided by sellers and landlords in the course of real estate transactions or renting.",,,eea,,,,,,,,,,,
Austria,Increased share of renewable energy for space heating,Single PaM,"Economic, Information, Regulatory",Implemented,ESD,Energy consumption; Energy supply,593.0,1319.0,"Government, Regional","Government: Ministry of Agriculture, Forestry, Environment and Water Management,Government: Ministry of Science, Research and Economy,Regional: Federal provinces",2000,No,No information,CO2,"Awareness raising measures on federal (klimaaktiv programme) and on Länder level on the advantages of modern heating systems are expected to increase the boiler exchange rate. Financial support for biomass and solar heating systems is provided for households via funding of the Länder and of the Austrian Climate and Energy Fund, support for commercial and industrial applications by the Domestic Environment Support Scheme. The District Heating and Cooling Act aims at the construction of district cooling systems in order to reduce electricity demand, as well as at the expansion of district heating networks; subsidies are provided for that purpose.",,,eea,,,,,,,,,,,
Austria,Increased energy efficiency in residential electricity demand,Single PaM,"Information, Regulatory",Implemented,ESD,Energy consumption,,,"Government, Regional","Government: Ministry of Science, Research and Economy,Regional: Federal provinces",2007,Yes,"Eco-design framework directive 2005/32/EC and its implementing regulations, combined with Labelling Directive 2003/66/EC and 2010/30/EC, including implementing measures;Energy Efficiency Directive 2012/27/EU ",CO2,"Especially the eco-design requirements (Directive 2006/32/EC) for energy using products and the mandatory labelling of household appliances according to energy consumption, supported by awareness raising measures at national level with respect to energy efficient products and by advice provided by regional energy agencies. Furthermore, the national implementation of the Energy Efficiency Directive (2012/27/EU) is considered.",,,eea,,,,,,,,,,,
