link,name,policy_status,policy_type,policy_implementation_period_start_year,jurisdiction,country,policy_financing_quantity,policy_target,related_documents,data_source,agency,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,policy_implementation_period_end_year,impact_on_eu_ets_esd_or_lulucf_emissions,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_period_start,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU13,Residential building subsidy,Ongoing,Financial,1982.0,"central government, energy agencies, local government",Austria, 590.000.000 from 2009 to 2015,,"https://www.bmlfuw.gv.at/
http://www.bmwfw.gv.at/Seiten/default.aspx",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU27,Energy audits (advice) for households,Ongoing,"Financial, Information/Education",1990.0,local government,Austria, 0 from  to ,,"NEEAP 2014, NEEAP 2017",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU5,Minimum thermal standards for buildings,Ongoing,Legislative/Normative,1991.0,local government,Austria, 0 from  to ,,"Vereinbarung gem. Art. 15a B-VG, BGBl.Nr. 388/1995",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU18,klimaaktiv building - building standard,Ongoing,Information/Education,2005.0,"associations, central government, energy agencies",Austria, 0 from  to ,,http://www.klimaaktiv.at/bauen-sanieren,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU28,Smart Metering and Informative Billing,Ongoing,"Financial, Information/Education",2008.0,utilities,Austria, 0 from  to ,,"2nd NEEAP, NEEAP 2014, NEEAP 2017",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU26,National recovery plan / renovation voucher,Ongoing,Financial,2009.0,central government,Austria, 394.000.000 from 2009 to 2016,,"2nd NEEAP, NEEAP 2014, Austrian Energy Agency",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=AU21,EU-related: Energy Performance of Buildings EPBD Recast (Directive 2010/31/EU) - Energy Performance of Buildings Directive in Austria,Ongoing,Legislative/Informative,2010.0,central government,Austria, 0 from  to ,,Austrian Energy Agency,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL19,K-level thermal regulations of residential buildings (in use prior to the EPB directive),Ongoing,Legislative/Normative,1985.0,"central government, local government",Belgium, 0 from  to ,,Wallonia: decree 1/05/85; Flanders: decree 1/09/92; Bruxelles : decree 1/1/2000,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL23,Brussels - Assist households proactively with regard to energy and eco-construction to improve the quality and energy comfort of their residence,Ongoing,Information/Education,1996.0,"energy agencies, local government",Belgium, 0 from  to ,,"4th NEEAP for Brussels, page 8 'HomeGrade'",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL15,EU-related: Performance of Heat Generators for Space Heating/Hot Water (Directive 92/42/EEC) - Federal government - Minimum efficiency requirements for new central heating boilers (household sector),Ongoing,"Legislative/Informative, Legislative/Normative",1998.0,central government,Belgium, 0 from  to ,,Moniteur Belge/ Belgisch Staatsblad 20 June 1997    (Royal Decree 18/3/97),MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL16,EU-related: Energy Labelling of Household Appliances (Directive 92/75/EC) - Federal Government - Labels on electrical household appliances,Ongoing,Legislative/Informative,1998.0,central government,Belgium, 0 from  to ,,"2nd NEEAP - Buildings sector, measures 1.2.1, 1.2.2, 1.2.3, 2.2.1",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL13,Federal government - Reduced VAT for renovation of old buildings,Ongoing,Fiscal/Tariffs,2000.0,central government,Belgium, 0 from  to ,,Moniteur Belge/ Belgisch Staatsblad 29 January 2000 (Royal Decree 18/01/2000),MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL31,Brussels - Act structurally on the supply by stimulating the sustainable building sector (household sector),Ongoing,Information/Education,2000.0,local government,Belgium, 0 from  to ,,"2nd NEEAP - Buildings sector, measure B6 for Brussels",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL34,Wallonia - Training and information on rational use of energy (household sector),Ongoing,Information/Education,2002.0,local government,Belgium, 0 from  to ,,2nd NEEAP - Buildings sectorn measure B2 for Wallonia,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL1,Federal government - Tax deduction for energy saving measures in residential buildings,Ongoing,Fiscal/Tariffs,2003.0,central government,Belgium, 0 from  to ,,"2nd NEEAP -  Buildings sector, measure 3.2.3",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL10,Brussels - Energy grant for households,Ongoing,Financial,2003.0,"local government, utilities",Belgium, 0 from  to ,,"4th NEEAP for Brussels, page 8 'Primes'
",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL30,Wallonia - Financial incentives for RUE investments in buildings,Ongoing,Financial,2005.0,local government,Belgium, 0 from  to ,,"4th NEEAP - Buldings sector, measure B4 for Wallonia
",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL29,EU-related: Energy Performance of Buildings (Directive 2002/91/EC) - Flanders - Insulation and energy performance regulation for residential buildings,Ongoing,"Legislative/Informative, Legislative/Normative",2006.0,local government,Belgium, 0 from  to ,,"4th NEEAP for Flanders, page 9, 'Opleggen van isolatienormen en energieprestatie- en binnenklimaatseisen (EPB)'",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL35,Wallonia - Public service obligation - gas and electricity invoices (household sector),Ongoing,Unknown,2006.0,"local government, utilities",Belgium, 0 from  to ,,"2nd NEEAP - Buildings sector, measure B6 for Wallonia",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL39,Federal government - Energy guzzlers web tool,Ongoing,Information/Education,2006.0,central government,Belgium, 0 from  to ,,in Dutch: www.energievreters.be / in French: www.energivores.be,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL22,Federal Government - Fund for the Reduction of the overall Cost of Energy (FRCE) in residential buildings,Completed,Financial,2007.0,central government,Belgium, 0 from  to ,,"2nd NEEAP - Buildings sector, measure 3.3.1",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL26,Brussels - Develop and promote exemplary buildings (with virtually zero consumption and of high environmental quality),Ongoing,Financial,2007.0,local government,Belgium, 0 from  to ,,"4th NEEAP for Brussels, page 8 'BATEX 2008-2016'
",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL36,Brussels – Green loans for energy efficiency investments by households,Ongoing,Financial,2007.0,local government,Belgium, 0 from  to ,,"2nd NEEAP - Buildings sector, measure B5 for Brussels",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL8,EU-related: Energy Performance of Buildings (Directive 2002/91/EC) - Wallonia - Thermal regulation for buildings,Ongoing,"Legislative/Informative, Legislative/Normative",2008.0,local government,Belgium, 0 from  to ,,"4th NEEAP - Buildings sector, measure B1 for Wallonia
",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL25,EU-related: Energy Performance of Buildings (Directive 2002/91/EC) - Brussels - Act structurally on the demand through progressive reinforcement of the requirements of the EPB regulations in the residential sector,Ongoing,"Legislative/Informative, Legislative/Normative",2008.0,local government,Belgium, 0 from  to ,,"4th NEEAP for Brussels, page 8 'PEB-Chaudière'
",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL24,Flanders - Reduction in property tax and gift tax for energy-efficient residential buildings,Ongoing,Fiscal/Tariffs,2009.0,local government,Belgium, 0 from  to ,,"4th NEEAP for Flanders, page 127",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BEL38,EU-related: Recast Ecodesign Directive for Energy-related Products (Directive 2009/125/EC) - Federal government - Transposition of recast Ecodesign directive 2009/125/EC,Ongoing,Legislative/Normative,2010.0,central government,Belgium, 0 from  to ,,Law of 27 Jyly 2011 modifying the Law of 21 December 1998 on product standards aiming at the promotion of sustainable production and consumption modes and the protection of the environment,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG15,Minimum Thermal Insulation in Buildings,Ongoing,Legislative/Normative,2004.0,central government,Bulgaria, 0 from  to ,,http://www.mrrb.government.bg/index.php?lang=bg&do;=law&type;=7&id;=386,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG3,Residential Energy Efficiency Credit Line REECL,Ongoing,Financial,2005.0,"central government, financial institutions, local government",Bulgaria, 0 from  to ,,http://reecl.org/en/,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG6,Building Tax Exemption,Ongoing,Fiscal/Tariffs,2005.0,local government,Bulgaria, 0 from  to ,,"http://www.minfin.bg/en/page/215
http://www.minfin.bg/document/1915:1 ",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG7,EU-related: Energy Performance of Buildings (Directive 2002/91/EC) - Energy Performance Standard for Buildings,Ongoing,Legislative/Normative,2005.0,central government,Bulgaria, 0 from  to ,,"http://www.seea.government.bg/documents/Naredba-RD-16-1058.pdf
http://www.mrrb.government.bg/index.php?lang=bg&do;=law&type;=7&id;=386",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG10,EU-related: Ecodesign Directive for Energy-using Products (Directive 2005/32/EC) - Mandatory measures for efficient lighting,Ongoing,Legislative/Normative,2005.0,central government,Bulgaria, 0 from  to ,,http://www.mee.government.bg/ind/doc_inov/NAREDBAzasysestveniteiziskvaniqiocenqvanesyotvetstvietonabalastizaluminescentnilampipootnosenienaizi.pdf,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG11,EU-related: Energy Labelling of Household Appliances (Directive 92/75/EC) - Mandatory energy labeling of electrical appliances,Ongoing,Legislative/Informative,2006.0,central government,Bulgaria, 0 from  to ,,"http://www.google.bg/url?sa=t&rct;=j&q;=&esrc;=s&source;=web&cd;=1&ved;=0CFIQFjAA&url;=http
%3A%2F%2Fwww.strategy.bg%2FFileHandler.ashx%3FfileId%3D1441&ei;=PBTfT6jAPPH04Q
TDzP28Cg&usg;=AFQjCNGaAtHs02ZjIN7oBooDH9Nn2B37bQ",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG1,"EU-related: Energy Performance of Buildings EPBD Recast (Directive 2010/31/EU) - National Program for Renovation of Residential Buildings in the Republic of Bulgaria, 2006-2020",Ongoing,Financial,2007.0,"associations, central government, energy agencies, financial institutions, industries, local government",Bulgaria, 0 from  to ,,http://www.mee.government.bg/ind/doc_inov/STRATEGIA-IZOLACIA.doc,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG8,Control Systems for heating regulation,Ongoing,Legislative/Normative,2007.0,central government,Bulgaria, 0 from  to ,,http://www.mrrb.government.bg/download.php?id=dmlhbGl8MzQ2,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG16,"Update for the legislation requirements and methods for design of the heating, ventilation and air-conditioning installations in buildings with counting the advance of the technical progress in the area",Ongoing,Legislative/Normative,2007.0,central government,Bulgaria, 0 from  to ,,http://www.mrrb.government.bg/download.php?id=dmlhbGl8MzQ2,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG20,Stimulating the establishment of association of the owners in the frames of Law for management of the floor property,Ongoing,Legislative/Informative,2011.0,financial institutions,Bulgaria, 0 from  to ,,http://www.lex.bg/bg/laws/ldoc/2135614516,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG22,Introduction of Directive 2010/32/EU in Bulgarian legislation,Completed,Legislative/Normative,2011.0,"central government, energy agencies",Bulgaria, 0 from  to ,,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:134:0066:0072:EN:PDF,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG21,Support for energy audits in multifamily buildings at guaranteed implementation of the recommended measures,Unknown,Financial,2012.0,financial institutions,Bulgaria, 0 from  to ,,http://www.bgstuff.net/files/zakoni/ETAJNATA-SOBSTVENOST.doc,MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG24,Support for energy efficiency in multifamily buildings,Ongoing,Financial,2012.0,"central government, financial institutions",Bulgaria, 0 from  to ,,"http://www.bgregio.eu/en/
http://mrrb.government.bg/?controller=category&catid;=5",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG28,Metering and billing (EED art. 9-11),Ongoing,"Information/Education, Legislative/Normative",2014.0,utilities,Bulgaria, 0 from  to ,,"https://www.lex.bg/laws/ldoc/2135475623
http://www.tso.bg/uploads/file/eto/bg/pdf/pr_turg_el_nov2015.pdf
http://lex.bg/laws/ldoc/2135550456
https://www.lex.bg/laws/ldoc/2135449088
http://www.dker.bg/files/DOWNLOAD/pr_turg_pg_16.pdf",MURE,,,,,,,,,,,,,,,,,,,
http://www.measures-odyssee-mure.eu/output2_mr.asp?Cod=BG29,Consumer information and training programs (EED art. 12 and art. 17),Ongoing,Information/Education,2014.0,"associations, central government, energy agencies, financial institutions, industries, local government, utilities",Bulgaria, 0 from  to ,,"http://seea.government.bg/documents/ZEE_EN.pdf
https://ec.europa.eu/energy/sites/ener/files/documents/bg_neeap_2017_bg.zip",MURE,,,,,,,,,,,,,,,,,,,
