country,policy_financing_period_start,name,policy_status,policy_target,policy_implementation_period_end_year,jurisdiction,policy_financing_period_start,policy_financing_quantity,policy_implementation_period_start_year,related_documents,policy_type,impact_on_eu_ets_esd_or_lulucf_emissions,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,agency,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,link,data_source,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
Cambodia,2001,Kirirom 1 and 3 Hydropower Stations,Operational,Energy,2031,Federal,2001,20.0,2001,,,,,,,,,,,,,,,,,,,,,
Cambodia,2001,Kirirom 1 and 3 Hydropower Stations,Operational,Energy,2031,Federal,2008,47.1,2008,,,,,,,,,,,,,,,,,,,,,
Cambodia,2007,ABC Phnom Penh Biomass Plant,Operational,Energy,,Federal,2007,6.33,2007,,,,,,,,,,,,,,,,,,,,,
Cambodia,2007,Kamchay Hydropower Station,Operational,Energy,2050,Federal,2007,280.0,2007,,,,,,,,,,,,,,,,,,,,,
Cambodia,2007,Stung Atay River Hydropower Station,Construction,Energy,2040,Federal,2007,255.3,2007,,,,,,,,,,,,,,,,,,,,,
Cambodia,2010,Orussei Hydroelectric Power Plant,Construction,Energy,2042,Federal,2010,558.0,2010,,,,,,,,,,,,,,,,,,,,,
Cambodia,2010,Stung Russey Chrum Krom Hydropower Plant,Construction,Energy,2045,Federal,2010,412.0,2010,,,,,,,,,,,,,,,,,,,,,
Cambodia,2010,Stung Tatay Hydropower Plant,Construction,Energy,2052,Federal,2010,540.0,2010,,,,,,,,,,,,,,,,,,,,,
China,1993,Leshan Electric Power Co.,Operational,Energy,,..,1993,18.7,1993,,,,,,,,,,,,,,,,,,,,,
China,1994,Hunan Xiangci-AES Hydro Power Co. Ltd.,Operational,Energy,,..,1994,14.0,1994,,,,,,,,,,,,,,,,,,,,,
China,1996,Taicang Xiexing Thermal Power Co.,Operational,Energy,,..,1996,0.0,1996,,,,,,,,,,,,,,,,,,,,,
China,1996,Taicang Xiexing Thermal Power Co.,Operational,Energy,,..,1998,4.8,1998,,,,,,,,,,,,,,,,,,,,,
China,1997,Nuon Nan'ao Wind Farm,Operational,Energy,2017,..,1997,30.0,1997,,,,,,,,,,,,,,,,,,,,,
China,1998,Asia Power Neijiang Hydropower,Operational,Energy,,..,1998,3.2,1998,,,,,,,,,,,,,,,,,,,,,
China,1998,Shengzhou Thermal Power Co.,Operational,Energy,2023,..,1998,10.0,1998,,,,,,,,,,,,,,,,,,,,,
China,1999,Fushi Meiya,Operational,Energy,,..,1999,53.0,1999,,,,,,,,,,,,,,,,,,,,,
China,1999,Guangdong Huaiji Power,Operational,Energy,2029,..,1999,115.7,1999,,,,,,,,,,,,,,,,,,,,,
China,1999,Guangdong Huaiji Power,Operational,Energy,2029,..,2005,115.7,2005,,,,,,,,,,,,,,,,,,,,,
China,1999,Weigang Meiya,Operational,Energy,,..,1999,50.0,1999,,,,,,,,,,,,,,,,,,,,,
China,1999,Zuojiang Meiya,Operational,Energy,,..,1999,62.3,1999,,,,,,,,,,,,,,,,,,,,,
China,2000,Fujian Mindong Electric Power Co.,Operational,Energy,,..,2000,150.0,2000,,,,,,,,,,,,,,,,,,,,,
China,2000,Guangxi Guigan Electric Power,Operational,Energy,,..,2000,83.3,2000,,,,,,,,,,,,,,,,,,,,,
China,2001,Beijing Kangxi Wind Farm Project,Operational,Energy,2031,State/Provincial,2001,241.55,2001,,,,,,,,,,,,,,,,,,,,,
China,2001,Longquan Ruiyang Phase II Hydroelectric Power Plant,Operational,Energy,2051,..,2001,24.1,2001,,,,,,,,,,,,,,,,,,,,,
China,2002,Asia Power Anning River,Operational,Energy,2032,..,2002,38.65,2002,,,,,,,,,,,,,,,,,,,,,
China,2002,Asia Power Sichuan Maoergai Hydropower,Construction,Energy,2032,..,2002,50.08,2002,,,,,,,,,,,,,,,,,,,,,
China,2002,Mianyang - Units 2 and 3,Construction,Energy,2032,..,2002,30.0,2002,,,,,,,,,,,,,,,,,,,,,
China,2002,Qingdao Huawei Wind Farm Project,Operational,Energy,2027,Local,2002,16.84,2002,,,,,,,,,,,,,,,,,,,,,
China,2002,Zhigangkala Hydroelectric Power Plant Project,Operational,Energy,2032,..,2002,171.5,2002,,,,,,,,,,,,,,,,,,,,,
China,2003,Helanshan Wind Farm Project phases I and II,Operational,Energy,2028,Local,2003,11.14,2003,,,,,,,,,,,,,,,,,,,,,
China,2003,Jin'anqiao Hydroelectric Power Plant,Construction,Energy,,..,2003,1691.0,2003,,,,,,,,,,,,,,,,,,,,,
China,2003,Nina Hydroelectric Plant,Operational,Energy,,..,2003,145.0,2003,,,,,,,,,,,,,,,,,,,,,
China,2003,Weixi Tuoluo River Power Plant,Operational,Energy,2053,Local,2003,18.12,2003,,,,,,,,,,,,,,,,,,,,,
China,2003,Yangtze Electric Power Co.,Operational,Energy,,..,2003,1200.0,2003,,,,,,,,,,,,,,,,,,,,,
China,2003,Yongkou Hydro Power Plant,Operational,Energy,2053,..,2003,25.85,2003,,,,,,,,,,,,,,,,,,,,,
China,2004,China Power International Development Ltd.,Operational,Energy,,..,2004,369.0,2004,,,,,,,,,,,,,,,,,,,,,
China,2004,"Dragon Power Co., Ltd.",Operational,Energy,Not Applicable,..,2004,181.0,2004,,,,,,,,,,,,,,,,,,,,,
China,2004,Jiangsu Rudong Wind Power Plant,Construction,Energy,2028,Federal,2004,97.0,2004,,,,,,,,,,,,,,,,,,,,,
China,2004,Qiaohe Cascade One Hydropower Plant Project,Operational,Energy,,..,2004,4.39,2004,,,,,,,,,,,,,,,,,,,,,
China,2004,Yantai City (Changdao) Wind Farm,Operational,Energy,,..,2004,29.8,2004,,,,,,,,,,,,,,,,,,,,,
China,2005,Asia Wind Power (Mudanjiang) Company Limited,Operational,Energy,2075,Local,2005,36.63,2005,,,,,,,,,,,,,,,,,,,,,
China,2005,Datang Ruifeng Shuangliao Wind Farm Project Phase I,Operational,Energy,2035,Local,2005,60.12,2005,,,,,,,,,,,,,,,,,,,,,
China,2005,Gansu Datang Yumen Wind Power Co,Construction,Energy,,Federal,2005,57.5,2005,,,,,,,,,,,,,,,,,,,,,
China,2005,Hong Kong Wind Power (Muling) Company Limited,Operational,Energy,2075,Local,2005,73.26,2005,,,,,,,,,,,,,,,,,,,,,
China,2005,Meida Daishan Wind Farm Project,Operational,Energy,2027,..,2005,51.89,2005,,,,,,,,,,,,,,,,,,,,,
China,2005,Weihai Wind power plant China Light and Power,Construction,Energy,,Local,2005,19.93,2005,,,,,,,,,,,,,,,,,,,,,
China,2006,"Asia Power (Leibo) Hydroelectric Power Co., Ltd.",Operational,Energy,2056,Local,2006,18.63,2006,,,,,,,,,,,,,,,,,,,,,
China,2006,"Asia Power (Yun County) Hydroelectric Power Co., Ltd.",Operational,Energy,2056,Local,2006,12.55,2006,,,,,,,,,,,,,,,,,,,,,
China,2006,Changtu Liaoneng Xiexin Wind Farm Project,Operational,Energy,2026,..,2006,53.95,2006,,,,,,,,,,,,,,,,,,,,,
China,2006,Cixi Wind Farm Project Phase I,Operational,Energy,2026,Local,2006,75.28,2006,,,,,,,,,,,,,,,,,,,,,
China,2006,Diqing Weixi Luoma Hydro Power Plant,Construction,Energy,2056,Local,2006,30.35,2006,,,,,,,,,,,,,,,,,,,,,
