projectID,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,Primary sector,Secondary sector,Subsector,Segment,Location,ContractPeriod,TerminationYear,PubliclyTraded,StockExchange,MultipleSystems,NumberOfSystems,CaptiveFacility,SharePercent,GovtGrantingContract,TypeOfGovtSupport,InvestmentYear,PercentPrivate,GovtPaymentCommitments,PhysicalAssets,TotalInvestment,GovCashAssist,dateStatusUpdated,CapacityType,Capacity,CapacityYear,Technology,ContractHistory,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,NumberRenewalBids,Sponsors,MultiLateralSupport,Revenue Source,RenewalBidCriteria,RenewalAwardMethod,DevelopmentStage,CommissioningDate,ProjectGrid,CarbonCredits,FundingYear,PrivateFunding,PublicFunding,GovtFunding,BankLocalFunding,DonorFunding,DebtEquityGrantRatio
4571,East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations,Kirium Hydro Station Project,Concession,"Rehabilitate, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,Kirirom Area,32,2031,No,N/A,No,1,No,,Federal,,2001,100,0,20,20,,,MW,12,2001,"Hydro, Small (<50MW)",,,Not Applicable,Direct negotiation,,,China Electric Power Technology Import and Export Corp (100% / China),,,,,Financial Closure,,,,,,,,,,
4571,East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations,Kirium Hydro Station Project,Concession,"Rehabilitate, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,Kirirom Area,32,2031,No,N/A,No,1,No,,Federal,,2008,100,Not Available,47.1,47.1,Not Available,,MW,30,2008,"Hydro, Small (<50MW)",,,Not Applicable,Direct negotiation,,,China Electric Power Technology Import and Export Corp (100% / China),,,,,Financial Closure,,,,,,,,,,
7189,East Asia and Pacific,Cambodia,Low income,IDA,2007,April,ABC Phnom Penh Biomass Plant,,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,"Phum Ang Snoul, Ang Snoul District, Kandal Region, Cambodia",,,No,N/A,No,,Yes,100,Federal,,2007,100,Not Available,6.33,6.33,Not Available,,MW,2,2007,Biomass,,,Not Applicable,,,,Angkor Bio Cogen (ABC) (100% / Cambodia),,PPA/WPA payments,Not Applicable,Not Applicable,Financial Closure,2007,Cambodia,Yes,,,,,,,
4569,East Asia and Pacific,Cambodia,Low income,IDA,2007,September,Kamchay Hydropower Station,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,Kampot Province,44,2050,No,N/A,No,1,No,,Federal,,2007,100,0,280,280,,12/1/09,MW,193,2007,"Hydro, Large (>50MW)",,,Not Available,Competitive bidding,Not Available,,Sinohydro (100% / China),,PPA/WPA payments,,,Financial Closure,2009,Cambodia,No,,,,,,,
4573,East Asia and Pacific,Cambodia,Low income,IDA,2007,April,Stung Atay River Hydropower Station,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,Pursat Province,33,2040,No,N/A,No,1,No,,Federal,,2007,100,0,255.3,255.3,,,MW,120,2007,"Hydro, Large (>50MW)",,,Not Applicable,Direct negotiation,,,China Yunnan Corporation For International Techno-Economic Cooperation (100% / China),,Purchase agreements or transmission fees with public entity(ies),,,Financial Closure,,,No,,,,,,,
5827,East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Orussei Hydroelectric Power Plant,Orussey,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,Koh Kong Province,30,2042,No,N/A,No,,No,,Federal,Payment Guarantee,2010,100,Not Available,558,558,Not Available,7/1/10,MW,338,2010,"Hydro, Large (>50MW)",,,Not Applicable,Direct negotiation,Not Applicable,,China Huadian Corporation (100% / China),,Purchase agreements or transmission fees with public entity(ies),Not Applicable,Not Applicable,Financial Closure,,,,,,,,,,
5813,East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Stung Russey Chrum Krom Hydropower Plant,Steun Russei Chrum Krom,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,Koh Kong Province,30,2045,No,N/A,No,,No,,Federal,Payment Guarantee,2010,100,Not Available,412,412,Not Applicable,7/1/10,MW,338,2010,"Hydro, Large (>50MW)",,,Not Applicable,Direct negotiation,Not Applicable,,China Huadian Corporation (100% / China),,Purchase agreements or transmission fees with public entity(ies),Not Available,Not Available,Financial Closure,,,Yes,,,,,,,
5814,East Asia and Pacific,Cambodia,Low income,IDA,2010,April,Stung Tatay Hydropower Plant,,Greenfield project,"Build, operate, and transfer",Construction,Energy,N/A,Electricity,Electricity generation,"Thmar Baing District, Koh Kong Province",42,2052,No,N/A,No,,No,,Federal,Payment Guarantee,2010,100,Not Available,540,540,Not Available,4/1/10,MW,246,2010,"Hydro, Large (>50MW)",,,Not Applicable,Direct negotiation,Not Applicable,,China National Heavy Machinery Corporation (100% / China),,Purchase agreements or transmission fees with public entity(ies),Not Applicable,Not Applicable,Financial Closure,2015,Cambodia,Yes,,,,,,,
2563,East Asia and Pacific,China,Upper middle income,Non-IDA,1993,April,Leshan Electric Power Co.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Leshan, Sichuan Province",,,Yes,Local,No,,No,,..,,1993,,18.7,0,18.7,,,MW,41.1,1993,"Hydro, Small (<50MW)",,,,,,,Others (.. / ..),,,,,Financial Closure,,,,,,,,,,
256,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,December,Hunan Xiangci-AES Hydro Power Co. Ltd.,Cili Misty Mountain,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Cili County, Hunan Province",,,No,N/A,No,,No,,..,,1994,51,0,14,14,,,MW,26.2,1994,"Hydro, Small (<50MW)",,,,,,,AES Corporation (51% / United States),,,,,Financial Closure,,,,,,,,,,
840,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,May,Taicang Xiexing Thermal Power Co.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Taicang, Jiangsu Province",,,No,N/A,No,,No,,..,,1996,,0,0,0,0,,,,1996,Geothermal,,,Not Applicable,,,,Continental Mariner Investment Co. Ltd. (.. / ..),,,,,Financial Closure,,,,,,,,,,
840,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,May,Taicang Xiexing Thermal Power Co.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Taicang, Jiangsu Province",,,No,N/A,No,,No,,..,,1998,51,4.8,0,4.8,,,MW,30,1998,Geothermal,,,Not Applicable,,,,Continental Mariner Investment Co. Ltd. (.. / ..),,,,,Financial Closure,,,,,,,,,,
2758,East Asia and Pacific,China,Upper middle income,Non-IDA,1997,August,Nuon Nan'ao Wind Farm,,Greenfield project,"Build, operate, and transfer",Operational,Energy,N/A,Electricity,Electricity generation,"Nan'ao Island, Guangdong",20,2017,No,N/A,No,,No,,..,,1997,55,0,30,30,,,MW,24,1997,"Wind, Onshore",,,,,,,"China Fuling Wind Power Development Corporation (.. / ..), Nan&#39;ao Zhenneng Wind Power Development Corporation (.. / ..), Nuon (.. / Netherlands)",,,,,Financial Closure,,,,,,,,,,
2922,East Asia and Pacific,China,Upper middle income,Non-IDA,1998,February,Asia Power Neijiang Hydropower,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Neijiang, Sichuan Province",,,No,N/A,No,,No,,..,,1998,60,3.2,0,3.2,,,MW,13.5,1998,"Hydro, Small (<50MW)",,,,,,,Asia Power (60% / Singapore),,,,,Financial Closure,,,,,,,,,,
1094,East Asia and Pacific,China,Upper middle income,Non-IDA,1998,March,Shengzhou Thermal Power Co.,,Divestiture,Partial,Operational,Energy,N/A,Electricity,Electricity generation,"Shengzhou, Zhejiang Province",25,2023,No,N/A,No,,No,,..,,1998,52,10,0,10,,,MW,28.5,1998,Geothermal,,,Not Applicable,,,,"Continental Mariner Investment Co. Ltd. (.. / ..), Austa Energy (.. / ..), New China Hong Kong Group (.. / ..)",,,,,Financial Closure,,,No,,,,,,,
2231,East Asia and Pacific,China,Upper middle income,Non-IDA,1999,June,Fushi Meiya,,Greenfield project,"Build, own, and operate",Operational,Energy,N/A,Electricity,Electricity generation,Fushi Guangxi Province,,,No,N/A,No,,No,,..,,1999,69,0,53,53,,,MW,54,1999,"Hydro, Large (>50MW)",,,,,,,"Meiya Power Company (MPC) (.. / ..), PSEG Global Inc. (35% / United States)",,,,,Financial Closure,,,,,,,,,,
