country,truth_uuid
"Egypt, Arab Rep.",56903578-d76e-4d2c-b170-19d74f2b7340
New Zealand,30b9fecf-3e3d-4bd9-b6b5-a9bf4128b75a
Malta,51401204-7350-4621-a37c-dcb6c93d6018
Nicaragua,c0fe7a5f-f47d-482e-8554-92570e2f4c64
Bhutan,3da19cd5-00e3-4ce6-8de0-58f6d1631773
Indonesia,494b9603-5d5a-401f-a274-67dd33070d8c
Panama,4d974bdf-da9d-4b0e-a2a8-c3160aeac297
Nigeria,c491c3d8-66ee-4596-bd98-33ca992b714d
El Salvador,ff60f770-d982-4d39-aaaf-b04ab3989501
Portugal,f51eb63d-4a4b-47f8-9e64-d5d10ec98d96
Sao Tome and Principe,fe89b8b3-33cf-4a46-9617-4018b4416397
Norway,200ed198-87e6-4882-a01d-fae3409be7ba
Ghana,2067fd57-5980-4348-b626-8b6d9e25ad75
Latvia,936c991f-4800-4feb-9df2-3d04702084de
Morocco,418c07f2-d8f0-4f46-b162-c4e0aa3b9f12
Cape Verde,eff13abc-cbda-4ae4-8139-1ade289c77ef
Finland,f35f4172-33aa-4e76-89a0-db8d003a1d35
Belgium,f8693870-e4b9-412d-83c6-85c646998cd5
United States,4805889e-c40c-4fba-8aad-4f54f13ee3b1
Japan,e4fad525-dd97-47c3-837e-17a7196c92e4
India,5027df9d-6a64-4363-a325-dd803b6b41ca
Philippines,06d2d431-ab49-4679-b623-9e92092f3b11
Georgia,3adb2aa2-5236-4d67-9b5a-2de3124f629e
Honduras,44357be2-7ebb-468c-a158-66ab288d5e1c
Turkey,1e8d1c6a-d46a-4394-83fe-33a8bdb8a31d
Kenya,cf6d0f04-0d05-48dd-857a-939d1c883884
"Iran, Islamic Rep.",99b4cda7-f8c9-4579-98f7-ab8cf997d59b
Israel,478d3223-4c37-4665-bfd3-ef93f3de00ae
Tonga,da69c932-7545-4ad2-bb6b-708f7c78d10e
Algeria,f2595196-3f18-4fa9-81c7-81b4d03ed0a4
Poland,8efb9ea7-f05c-4653-8e68-203cc9ab3dbb
Burkina Faso,ac1ce124-5855-478c-b7dc-1c6dfe4f4b4f
Vietnam,06a16010-2750-432c-a460-f0be7c34ab6f
Tajikistan,044ba2cb-1661-4a86-b7f8-61de0bfb527b
Russian Federation,0d2ae626-9abf-4276-b1f9-400d88f5ab7e
Luxembourg,05e2b017-ace9-4d75-b9cf-c7fa5a7dba65
Sri Lanka,aefe8dc3-0368-4b3d-9443-f7c1a4765a81
Ecuador,da6c5c0e-c091-44e8-b5bf-997d93de9dad
Canada,38ff53fb-251c-453f-b60f-8d96a3220b65
European Union,6be24035-898f-4b13-80c8-668fe1694b8d
Serbia,09677a30-e150-40ba-a600-8be80224f598
Lao PDR,f5d6e493-64c2-4b65-a31e-96e9eca78a4a
Kazakhstan,a9873120-95c6-4ee1-9968-4954293719cf
Mauritius,bd0ca9a3-e59a-4edc-a9dc-02bab7d5d037
Thailand,d6de3f69-b773-4d68-8636-ffd817539cf3
Nepal,59c7eca9-269b-430b-88a7-fd84d44131ca
Czech Republic,2d3bb904-0d11-4a38-81f4-be76aada03d3
Liberia,7ed3faee-73bc-42bc-9f8c-0aa8015b3c03
France,14165472-6243-4fb6-b896-a7996f7b2b03
Iran,040da9fc-bf2b-4fe9-8fb1-743fdeca42ef
Dominican Republic,7f8b3f8f-dba5-471c-b18e-bea4fe1f0f26
Lithuania,35901261-044e-4a03-a2e5-2a4b463216ad
Switzerland,f3ffe831-8a7c-42b4-9e11-26ada51d4f6f
Peru,6c7ba3ec-750d-4e5c-99c3-53d19d50c123
Belize,75a3905c-5559-4b62-a9a8-c4278d21e104
Italy,db5be54c-6c7e-4825-acb4-42b355c6862e
Cyprus,4bca9155-0cbb-4cf6-87ff-1e2db13cac8a
Brazil,8c93b46a-b270-4308-a6b0-868bcbf9a429
Pakistan,3c425319-2b97-4f05-a88b-6d43fc512fe4
Sweden,6faaae81-b83b-4b96-ab6a-22ac08b94ec1
Netherlands,4778d1b3-363c-499d-8a41-47d17b43a198
Myanmar,08846940-b15d-4604-85c5-f857a39b2306
Bangladesh,1ea49702-147b-42a8-a34f-d6fa789ad62e
Argentina,a0282725-3128-4ede-8f42-365389859d9c
Spain,031ed5f2-380c-43ad-a462-6e3698ebad47
Montenegro,c2fb2968-d772-4cfd-be1e-ea8fff931ed2
Denmark,a567033e-c555-4234-b24b-6f13877ef0a3
Greece,c804f9e3-a37f-4464-a8f5-0a14f75ff562
Austria,34fa28b0-6b58-48df-b10d-045612a4f65e
Madagascar,7e25c3d7-0fbd-428e-9a9c-bb11d17b4e6a
Germany,801ce125-cd43-462c-be21-b271f6a4d2f5
Bulgaria,4c4a0e75-f00b-4cc3-8187-df6600e14ed6
Albania,af5580e8-60b2-477b-b27c-6d0c4960a233
Hungary,211def81-cb78-4bad-89c1-4b8d9a2a1498
Angola,8396c5a1-b068-4141-99d2-0aa3cbc10688
United Kingdom,e2b83058-29c9-4552-8fc7-fe26bf586e15
South Africa,85283ea3-7ca5-45af-8c81-1deacdaba776
Slovenia,02f1afb3-a3cb-4a1c-8efd-ab9d906e3ad3
Estonia,551fe74d-f91d-45ac-8b03-66ddf760f97a
Armenia,e817cfbe-99e8-475f-be20-c4a1b8760152
Korea,ccabe2db-12f8-4b16-a695-128702db5f2d
Tanzania,dcccfc75-77af-4da8-a269-bc03a8bd0676
Romania,07d4049c-5d35-4c72-920f-5b525c91a5a1
Vanuatu,c6a75d5e-19da-4ef3-91d4-4b096ff2ff7c
China,7d7ed34e-5d46-4a12-8db2-722261f9c792
Russia,b9e555c4-c4a8-4cd4-a1b3-f44bc99af9be
Cambodia,a7a45f68-dc1d-4df3-9323-bfe802fea61a
Costa Rica,ce15200f-3153-43fa-8b1c-99aa972f151f
Bolivia,05c25dfb-4b40-4339-b8dc-cb8513fdda6e
Slovakia,43605ca7-109b-43bf-91aa-3f0a6a0efc07
Australia,c47b563d-931d-490f-ba4d-cdaaa7fec951
Ireland,c904f2c0-9061-4a49-b42d-ad2b290fff52
Mexico,4a7c3e8a-8c1b-4535-9323-c90ee11a849e
Croatia,26c35303-895c-485d-94e5-0e8732964ba0
Bosnia and Herzegovina,32998e95-0c03-4f4c-b59e-fb139e97fe8f
Guatemala,b8888783-06cb-4db6-90f1-ea242f722296
