target,truth_uuid
solar thermal electricity (ste),79ffa19e-a31d-4b9e-a149-11734c1bba5a
resilience,b578a379-b18e-4067-ae08-a38c0a92cc8a
freight,6de06325-502e-4e09-8180-b01676376cba
lighting,f45e43d7-628f-425a-9051-2838187d29eb
engineering and metal industries,367c76db-602e-4ab4-94ff-b686239f1ae4
transport means,db2e35f0-377b-4594-a649-2d3e01fa8f8a
compressors,49afda82-e094-47aa-95d1-449534037d3e
buildings,4392e8de-f2ba-49e3-81e6-e476901241aa
small and medium sized enterprises (smes),321a8c73-58d8-4933-95b1-366b703d4c91
power,f257805f-c5c9-40a6-a4a1-d1b494b88306
energy consumption,831b194c-a856-43ab-b130-bef63589c984
industrial processes,4b5b866c-ff75-4553-81d3-14d8ff790cd4
industrial subsectors,a6bf1131-3f11-4ace-8788-ecbb4aff16e9
oil),2584202b-a6c3-4747-ad59-f4a5908430f1
geothermal,227be2df-d173-4d92-ba99-b79314c3e93a
paper and board,2d297abd-b355-4fa8-bb3a-3b7ca3dc5a15
land use change and forestry,4197b83d-546e-4bdd-87fd-2731f3a3d60f
nuclear,cc2a4b69-e131-476c-98f5-6f610d67d9ce
pumps,6183c0c3-e097-4baa-be86-daa75d16b0df
commercial,82f15a37-9745-4435-8cec-1cedb46d99c5
vehicle operation,3df42c59-7f68-4ad3-a3a4-ab1b9041c651
hybrid vehicles,9c3932e8-9682-4805-97f1-bd3603c65520
commercial services,a5ff54d9-8cdf-4dee-a128-019fe2cee110
non-road,db13b985-4b89-485b-9029-af3b1e7ba134
refrigeration,4c45da5a-215f-44fe-b4c1-879775719538
energy,9bc88503-2d28-4cad-84d7-040c8cd9e464
fuel,606605fe-22f0-4901-a535-c7c2bbf8a0ac
fossil fuels (coal,da91072f-885b-44fa-ae38-50d60964b3bb
biofuels for transport,9c7db4e7-61f6-44b4-b131-983c6df72380
tidal,e2e48795-8a22-4ada-b887-551671b0358e
lead,49a10bbf-b3f1-4dfc-8ac0-563a068f076c
heating (including district heating),b51b249b-51ba-442b-ad05-2a021b86999b
other,bc426e0b-75bc-4062-b97b-5e5473703b3d
infrastructure,ff37a77f-5b37-4e32-a05f-2e4b2c045cb8
other sectors,5583a829-a3e8-4491-a319-677dc2a4b384
timber and wood products,5dd7c07d-fdf8-49df-909a-8287e856e85d
industrial,24a97d85-73c3-4ae1-8f5f-a964fa6acbcc
net zero energy,58301d8c-8b3e-4aa0-8606-a4484fbd822e
ventilation,cfe60cc0-d537-403e-8850-e30ac4614a45
trade-off,85e2dc13-f1b5-455e-ad45-fc66e2da44eb
demand-side management,4ec1399d-ce28-4c40-9e86-87d813213594
infrastructure and planning,28a5c781-9f25-4686-82d5-debc1cf41628
carbon capture storage,d121fad5-97fa-4446-804f-329d94f022d1
all sectors,c6e2c46b-af79-4a38-a972-563520ea787f
low energy,76a48830-5b29-4932-a665-ab99c347886c
demand reduction,7aebc6b5-4ec2-4f1a-9d8c-900bb6a4d55c
bioethanol,fc0f831c-bc39-4322-86d5-0ca5b268d288
leather and clothing,69edc759-8bdb-4a18-b9fd-6562ea44a458
drink and tobacco,59a25f0a-a842-44c2-a37b-c12d545f9fcf
construction,0f697559-f195-4636-a75f-0c9a56cfe0ae
zinc and lead,9342cad6-fece-40cf-b390-586b2dcc70f9
standby,4e4a56fa-76a9-4aa9-968b-a7f538c56f31
new buildings,6335344b-8722-4909-b581-f6b992d92e98
tertiary,712c69af-5866-4d15-a1a6-cb3e5a2ca97f
hydropower,b338a7b0-3ccb-4b06-80ad-d641cd329660
biomass for heat,46d2ef34-ec5d-4961-81db-2a89d0f7e646
home entertainment,0bf8b14e-65c8-4bcb-85da-bf055d8b7649
water,e171bebc-eb3c-4abc-905e-538022bcc87e
chp,34d65a20-0fcb-45e0-b4e4-2d0194ef3584
liquefied petroleum gas,e963b6ea-ed6d-4577-a910-3a3e6baa9d55
energy sector,996c46e7-35c7-46a1-b1ab-bf3557b96caf
industrial products,b444add0-67f3-4cd7-97f8-ddcadf90bfcc
heavy-duty vehicles,81e5e275-7e5a-41e0-9e2c-d2b7c83b45ca
heat,51e974a0-c5a6-48dd-8ea3-fb7172ca679a
biodiesel,de7e2222-c6ff-44a1-a3a2-6a0dbb1e26ab
non-residential,5141f951-cacc-4594-b4dc-ce44ddfca01d
distribution transformers,39163641-f7fa-4de2-9cbc-27ca0f5100fd
scope,7bbd424f-50a1-4f4f-b910-246cfafef60e
storage,a9ebc284-890c-4461-a40c-e2d2c08cfe6f
